PROVIDER_ID,std_MORT_30_AMI,std_MORT_30_CABG,std_MORT_30_COPD,std_MORT_30_HF,std_MORT_30_PN,std_MORT_30_STK,std_PSI_4_SURG_COMP,C1,C2,C3,C4,C5,C6,C7,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010001,1.4059231766,-1.04536983,1.0114961383,0.6509042552,-0.31537481,0.0237662145,-0.732077156,1,1,1,1,1,1,1,7,0.1428571429,0.1427525699,-0.073484,0.730255,0.2961102941
010005,-1.492797935,,0.1503091721,-0.366856715,-1.766289321,-0.083024918,-0.57602094,1,0,1,1,1,1,1,6,0.1666666667,-0.689113443,-0.073484,0.730255,-0.843034003
010006,-3.138018026,-2.730471876,-0.51214234,-0.135547404,-0.626285062,-0.243211617,-1.004318083,1,1,1,1,1,1,1,7,0.1428571429,-1.19857063,-0.073484,0.730255,-1.5406767
010007,,,-2.698232332,-1.014522787,-3.804478754,,,0,0,1,1,1,0,0,3,0.3333333333,-2.505744624,-0.073484,0.730255,-3.330700307
010008,,,,,-0.419011561,,,0,0,0,0,1,0,0,1,1,-0.419011561,-0.073484,0.730255,-0.473160713
010011,-0.1609531,1.0008255125,-0.777122945,-0.968260925,-1.559015819,0.4509307443,-1.333150824,1,1,1,1,1,1,1,7,0.1428571429,-0.478106765,-0.073484,0.730255,-0.554084761
010012,-0.239296914,,0.4815349283,-1.292093961,-1.800834905,,,1,0,1,1,1,0,0,4,0.25,-0.712672713,-0.073484,0.730255,-0.875295698
010016,-0.552672169,0.7600966487,0.3490446258,0.5583805306,-0.108101308,-0.296607183,1.2567821503,1,1,1,1,1,1,1,7,0.1428571429,0.2809890422,-0.073484,0.730255,0.4854091554
010018,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
010019,0.309109783,,0.0178188695,-2.448640518,-2.215381908,-0.723771713,,1,0,1,1,1,1,0,5,0.2,-1.012173097,-0.073484,0.730255,-1.285426837
010021,,,-0.313406887,-0.736951613,0.0991721934,,,0,0,1,1,1,0,0,3,0.3333333333,-0.317062102,-0.073484,0.730255,-0.33355272
010022,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
010023,-0.787703611,0.2786389211,-0.975858399,0.2345474946,-0.79901298,-1.684891905,-0.648475612,1,1,1,1,1,1,1,7,0.1428571429,-0.626108013,-0.073484,0.730255,-0.756755353
010024,0.8575164798,-0.684276534,0.0178188695,-0.736951613,-0.557193895,-0.243211617,-0.956729511,1,1,1,1,1,1,1,7,0.1428571429,-0.329003974,-0.073484,0.730255,-0.349905733
010029,-1.336110308,0.1582744892,-0.247161735,-2.124807482,-0.626285062,0.130557347,-0.790383874,1,1,1,1,1,1,1,7,0.1428571429,-0.690845232,-0.073484,0.730255,-0.845405488
010033,-1.101078866,0.2786389211,-0.247161735,0.9747372911,0.9628117835,-0.777167279,-1.269699396,1,1,1,1,1,1,1,7,0.1428571429,-0.16841704,-0.073484,0.730255,-0.130000499
010034,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
010035,0.3874535968,,0.0178188695,-0.690689751,-1.282651151,-0.723771713,-0.058977542,1,0,1,1,1,1,1,6,0.1666666667,-0.391802948,-0.073484,0.730255,-0.435901665
010036,,,-0.114671433,-0.366856715,-1.66265257,0.2373484794,,0,0,1,1,1,1,0,4,0.25,-0.47670806,-0.073484,0.730255,-0.552169396
010039,-2.82464277,1.1211899444,-0.578387492,-1.199570236,-1.489924652,-0.136420484,-1.919647813,1,1,1,1,1,1,1,7,0.1428571429,-1.003914786,-0.073484,0.730255,-1.274118035
010040,0.4657974106,0.399003353,-0.247161735,-0.043023679,-1.904471656,0.6645130092,-0.647189434,1,1,1,1,1,1,1,7,0.1428571429,-0.187504676,-0.073484,0.730255,-0.156138809
010044,,,,0.2345474946,-0.488102728,,,0,0,0,1,1,0,0,2,0.5,-0.126777617,-0.073484,0.730255,-0.072980124
010045,,,-0.644632643,0.2345474946,0.1682633606,,,0,0,1,1,1,0,0,3,0.3333333333,-0.080607263,-0.073484,0.730255,-0.009755164
010046,0.2307659691,,0.2165543233,-0.043023679,-0.177192475,-0.510189448,-0.05812009,1,0,1,1,1,1,1,6,0.1666666667,-0.056867567,-0.073484,0.730255,0.0227536038
010049,,,-1.108348702,-0.089285541,-1.351742318,-1.417914073,,0,0,1,1,1,1,0,4,0.25,-0.991822659,-0.073484,0.730255,-1.257559265
010051,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
010052,,,,,-1.731743737,,,0,0,0,0,1,0,0,1,1,-1.731743737,-0.073484,0.730255,-2.270795608
010055,-2.19789226,-3.934116195,-2.896967786,-1.615926997,-0.695376229,-0.563585014,1.0522799108,1,1,1,1,1,1,1,7,0.1428571429,-1.550226367,-0.073484,0.730255,-2.022228562
010056,-0.552672169,-1.767556421,0.4152897771,0.6509042552,1.2046308687,-0.136420484,1.6983697954,1,1,1,1,1,1,1,7,0.1428571429,0.216077946,-0.073484,0.730255,0.3965209163
010058,,,,,-0.626285062,,,0,0,0,0,1,0,0,1,1,-0.626285062,-0.073484,0.730255,-0.756997802
010059,,,,,-0.039010141,,,0,0,0,0,1,0,0,1,1,-0.039010141,-0.073484,0.730255,0.0472072829
010061,,,-0.180916584,-0.505642302,-0.453557144,-0.243211617,,0,0,1,1,1,1,0,4,0.25,-0.345831912,-0.073484,0.730255,-0.372949647
010062,,,,,-0.626285062,,,0,0,0,0,1,0,0,1,1,-0.626285062,-0.073484,0.730255,-0.756997802
010065,-0.787703611,,-0.578387492,-0.135547404,-1.559015819,,,1,0,1,1,1,0,0,4,0.25,-0.765163581,-0.073484,0.730255,-0.947175872
010069,,,,-0.274332991,-0.349920393,,,0,0,0,1,1,0,0,2,0.5,-0.312126692,-0.073484,0.730255,-0.326794247
010073,,,,,-1.109923233,,,0,0,0,0,1,0,0,1,1,-1.109923233,-0.073484,0.730255,-1.419284342
010078,0.0740783415,,1.8064379534,-0.135547404,-0.626285062,-0.18981605,-2.945160092,1,0,1,1,1,1,1,6,0.1666666667,-0.336048719,-0.073484,0.730255,-0.359552696
010079,,,0.6802703821,0.789689842,-0.557193895,-4.141087951,,0,0,1,1,1,1,0,4,0.25,-0.807080405,-0.073484,0.730255,-1.004576115
010083,0.6224850383,,-0.247161735,0.2345474946,-0.073555725,0.1839529132,0.0833594469,1,0,1,1,1,1,1,6,0.1666666667,0.1339379055,-0.073484,0.730255,0.2840396306
010085,-0.1609531,,1.3427218946,-0.551904164,-0.729921813,-0.723771713,0.145095972,1,0,1,1,1,1,1,6,0.1666666667,-0.113122154,-0.073484,0.730255,-0.054280547
010086,,,-0.048426282,-0.551904164,-1.006286482,,,0,0,1,1,1,0,0,3,0.3333333333,-0.535538976,-0.073484,0.730255,-0.632731532
010087,0.7008288521,,,1.0672610157,-0.384465977,-0.029629352,-1.382454299,1,0,0,1,1,1,1,5,0.2,-0.005691952,-0.073484,0.730255,0.0928326894
010089,-0.239296914,,0.2165543233,-0.783213476,-0.280829226,-1.417914073,,1,0,1,1,1,1,0,5,0.2,-0.500939873,-0.073484,0.730255,-0.585352062
010090,-2.354579887,-0.44354767,-1.704555063,-0.274332991,-0.937195315,-1.097540676,1.0479926521,1,1,1,1,1,1,1,7,0.1428571429,-0.823394136,-0.073484,0.730255,-1.026915882
010091,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
010092,-0.944391238,0.6397322168,0.0840640208,-1.569665135,0.2028089442,-1.524705206,-0.469696924,1,1,1,1,1,1,1,7,0.1428571429,-0.511693332,-0.073484,0.730255,-0.600077679
010095,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
010097,,,,,0.2719001114,,,0,0,0,0,1,0,0,1,1,0.2719001114,-0.073484,0.730255,0.472962916
010099,,,,-0.228071128,-1.248105567,,,0,0,0,1,1,0,0,2,0.5,-0.738088348,-0.073484,0.730255,-0.910099471
010100,0.309109783,-1.647191989,-0.843368097,-0.043023679,-1.075377649,-0.083024918,-1.342582793,1,1,1,1,1,1,1,7,0.1428571429,-0.67506562,-0.073484,0.730255,-0.823797134
010101,,,,-0.8757372,0.5137191967,,,0,0,0,1,1,0,0,2,0.5,-0.181009002,-0.073484,0.730255,-0.147243734
010102,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
