PROVIDER_ID,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010001,1.0242728709,-0.368843082,-0.44812688,0.2899733314,0.6074990774,0.8593817676,0.1924519392,0.7683592821,-1.028886475,0.627910307,-0.257980078,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.2060010965,0.013108,0.533730,0.3614061185
010005,,-0.330781493,0.5483598538,-1.035150204,,2.448388262,1.0383738259,1.653525837,1.891523058,-0.071402726,-2.992837509,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.3499998784,0.013108,0.533730,0.6312031549
010006,-0.541851828,0.368600205,-0.017925559,1.1054339683,-0.951608837,0.8593817676,0.1924519392,-0.116807273,,,-1.283551615,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,-0.042875248,0.013108,0.533730,-0.104890188
010007,,-0.85888604,-0.764193157,-0.219689567,,-0.431686009,0.1924519392,-0.706918309,,,-0.599837257,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-0.484108343,0.013108,0.533730,-0.931587329
010008,,,,0.2899733314,,,,-1.001973828,,,,0,0,0,1,0,0,0,1,0,0,0,2,0.5,-0.356000248,0.013108,0.533730,-0.691563186
010011,0.9436635114,-1.291836614,-0.096942128,0.391905911,-1.43133435,-0.133747291,0.3616363166,-1.887140383,,,0.4257342795,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,-0.30200675,0.013108,0.533730,-0.590400623
010012,-0.21941439,-1.234744231,-0.035484796,-0.423554726,,-0.034434386,0.7000050712,-1.001973828,,,0.4257342795,1,1,1,1,0,1,1,1,0,0,1,8,0.125,-0.227983376,0.013108,0.533730,-0.451709957
010016,-1.388250103,-0.245142917,-1.352427616,0.5957710702,-0.951608837,0.462130144,-0.991838702,0.6208315229,,,0.0838771007,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,-0.351850926,0.013108,0.533730,-0.68378899
010018,,,,,,,,,,,0.4257342795,0,0,0,0,0,0,0,0,0,0,1,1,1,0.4257342795,0.013108,0.533730,0.7730996119
010019,,-0.364085383,-0.505194402,-1.340947943,,-0.332373103,0.7000050712,0.3257760046,,,0.4257342795,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-0.155869354,0.013108,0.533730,-0.316596665
010021,,-0.421177766,-0.136450413,0.7996362295,,0.2635043322,,-0.264335032,,,,0,1,1,1,0,1,0,1,0,0,0,5,0.2,0.0482354701,0.013108,0.533730,0.0658154346
010022,,,0.7063929921,0.2899733314,,,,-0.116807273,,,,0,0,1,1,0,0,0,1,0,0,0,3,0.3333333333,0.2931863502,0.013108,0.533730,0.5247569661
010023,-0.334570618,-1.177651847,-2.081135977,-1.850610841,-1.551265728,0.3628172381,-0.48428557,-1.592084864,2.0375435346,0.3948059626,-0.257980078,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.594038072,0.013108,0.533730,-1.13755237
010024,-1.394007914,-0.378358479,-1.242682381,-0.321622146,0.9672932116,0.6607559558,,-1.149501587,1.1614206748,0.8610146514,0.7675914583,1,1,1,1,1,1,0,1,1,1,1,10,0.1,-0.006809656,0.013108,0.533730,-0.037317464
010029,-2.430413965,-2.34328801,0.0435317728,0.6977036498,-1.071540215,0.9586946735,0.1924519392,1.2109425595,0.7963694832,0.627910307,1.4513058159,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.0121516373,0.013108,0.533730,-0.001791465
010033,-0.570640885,-0.278446808,-1.571918086,0.4938384906,-1.071540215,0.3628172381,-0.822654325,-2.034668142,0.7233592449,0.8610146514,0.7675914583,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.285567943,0.013108,0.533730,-0.55960077
010034,,,,0.391905911,,,,-1.444557105,,,,0,0,0,1,0,0,0,1,0,0,0,2,0.5,-0.526325597,0.013108,0.533730,-1.010685846
010035,,0.7682468893,0.5746987102,0.1880407518,,-0.828937633,0.0232675619,-2.772306938,,,0.4257342795,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-0.231608054,0.013108,0.533730,-0.458501177
010036,,-1.406021381,0.3069203368,-2.360273739,,0.6607559558,-1.330207457,0.6208315229,,,0.4257342795,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-0.440322926,0.013108,0.533730,-0.849550693
010039,0.1606011619,-0.359327684,-0.500804593,0.1880407518,1.806812858,0.0648785204,-2.176129343,-0.116807273,1.0884104365,0.9775668235,1.1094486371,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.203880936,0.013108,0.533730,0.3574337723
010040,-0.812468963,-0.621001109,-0.250585457,-1.442880522,-0.951608837,0.2635043322,-0.145916815,-0.854446069,,,0.4257342795,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,-0.487741018,0.013108,0.533730,-0.938393532
010044,,1.6769673262,1.3385255457,-0.015824407,,,,0.9158870412,,,,0,1,1,1,0,0,0,1,0,0,0,4,0.25,0.9788888764,0.013108,0.533730,1.8094935933
010045,,0.2496577394,0.7151726109,-0.729352465,,-0.828937633,,-0.854446069,,,,0,1,1,1,0,1,0,1,0,0,0,5,0.2,-0.289581163,0.013108,0.533730,-0.567119964
010046,-0.081226917,-0.61624341,-0.821260679,0.7996362295,,-0.828937633,,-0.264335032,,,0.0838771007,1,1,1,1,0,1,0,1,0,0,1,7,0.1428571429,-0.246927191,0.013108,0.533730,-0.487203211
010049,,0.1687768628,-0.004756131,0.0861081721,,-0.729624727,0.8691894486,0.4733037638,,,0.7675914583,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,0.232941264,0.013108,0.533730,0.4118813883
010051,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.013108,0.533730,
010052,,,0.7722401331,,,,,-1.149501587,,,,0,0,1,0,0,0,0,1,0,0,0,2,0.5,-0.188630727,0.013108,0.533730,-0.377978583
010055,-0.645492433,-0.906463026,0.4122757624,-0.321622146,-2.150922618,0.9586946735,-1.837760589,-0.264335032,,,-0.941694436,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,-0.633035538,0.013108,0.533730,-1.210618272
010056,0.0972652366,-0.454481657,-0.465686118,1.717029446,-1.551265728,0.462130144,0.5308206939,-1.001973828,,,1.7931629948,1,1,1,1,1,1,1,1,0,0,1,9,0.1111111111,0.1252223539,0.013108,0.533730,0.2100585512
010058,,,1.3648644021,,,,,0.6208315229,,,,0,0,1,0,0,0,0,1,0,0,0,2,0.5,0.9928479625,0.013108,0.533730,1.835647426
010059,,,-0.035484796,,,,,-0.55939055,,,,0,0,1,0,0,0,0,1,0,0,0,2,0.5,-0.297437673,0.013108,0.533730,-0.581839972
010061,,0.6921237113,-0.483245355,1.0035013887,,0.0648785204,,0.7683592821,,,-1.625408793,0,1,1,1,0,1,0,1,0,0,1,6,0.1666666667,0.0700347923,0.013108,0.533730,0.1066587837
010062,,,0.6185968041,-0.933217624,,,,0.3257760046,,,,0,0,1,1,0,0,0,1,0,0,0,3,0.3333333333,0.0037183949,0.013108,0.533730,-0.017592041
010065,,1.8577598739,-0.017925559,0.6977036498,,-0.034434386,1.0383738259,0.7683592821,1.0884104365,-1.35347662,-0.257980078,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.4207544917,0.013108,0.533730,0.7637694498
010069,,-1.077740176,0.9741713655,0.1880407518,,,,-2.034668142,,,,0,1,1,1,0,0,0,1,0,0,0,4,0.25,-0.48754905,0.013108,0.533730,-0.93803386
010073,,,0.2235139582,-0.015824407,,,,0.7683592821,,,,0,0,1,1,0,0,0,1,0,0,0,3,0.3333333333,0.3253496109,0.013108,0.533730,0.5850182565
010078,-1.710687541,-0.13095815,-0.935395723,-1.137082783,,2.8456398856,-2.006944966,-1.001973828,0.8693797215,0.627910307,-0.257980078,1,1,1,1,0,1,1,1,1,1,1,10,0.1,-0.283809316,0.013108,0.533730,-0.556305794
010079,,1.4105362034,-1.738730843,-2.054476,,-0.233060197,-0.48428557,-0.264335032,,,-2.309123151,0,1,1,1,0,1,1,1,0,0,1,7,0.1428571429,-0.81049637,0.013108,0.533730,-1.543110019
