PROVIDER_ID,std_COMP_HIP_KNEE,std_HAI_1,std_HAI_2,std_HAI_3,std_HAI_4,std_HAI_5,std_HAI_6,std_PSI_90_SAFETY,C1,C2,C3,C4,C5,C6,C7,C8,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010001,0.6987290924,0.3036701043,0.7390780677,-0.467783407,,0.4764461302,-0.105703392,0.1030011909,1,1,1,1,0,1,1,1,7,0.1428571429,0.2496339695,-0.019030,0.779001,0.3448829171
010005,1.1586924721,-0.332255344,-1.072825303,1.149255,,-2.749027367,-0.428085753,-0.058779638,1,1,1,1,0,1,1,1,7,0.1428571429,-0.333289419,-0.019030,0.779001,-0.40341359
010006,-0.834482173,0.9776423739,1.0287769037,1.149255,1.1084136071,0.5953724076,0.9650665944,-0.867683783,1,1,1,1,1,1,1,1,8,0.125,0.5152951163,-0.019030,0.779001,0.6859111072
010007,0.0854445862,,,,,,-1.284701742,0.3726359059,1,0,0,0,0,0,1,1,3,0.3333333333,-0.275540417,-0.019030,0.779001,-0.329281418
010008,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
010011,-0.52783992,-0.03331603,0.5162328092,1.149255,,0.2707358125,-0.12182251,0.2647820199,1,1,1,1,0,1,1,1,7,0.1428571429,0.2168610259,-0.019030,0.779001,0.3028124157
010012,-0.681161047,,1.0287769037,,,,-0.287619153,0.3187089629,1,0,1,0,0,0,1,1,4,0.25,0.0946764168,-0.019030,0.779001,0.1459645039
010016,-0.834482173,-0.113486119,0.7425064563,0.2558044989,,-1.212628431,-0.264591841,-1.946222643,1,1,1,1,0,1,1,1,7,0.1428571429,-0.481871465,-0.019030,0.779001,-0.594147789
010018,,,,,,,,0.0490742479,0,0,0,0,0,0,0,1,1,1,0.0490742479,-0.019030,0.779001,0.0874251755
010019,-1.907730059,-3.203431565,0.3019585222,1.149255,,1.1916109066,-1.333059096,0.3187089629,1,1,1,1,0,1,1,1,7,0.1428571429,-0.497526761,-0.019030,0.779001,-0.614244433
010021,,,,,,,0.101542412,-0.705902954,0,0,0,0,0,0,1,1,2,0.5,-0.302180271,-0.019030,0.779001,-0.363478897
010022,,,,,,,1.0249376044,,0,0,0,0,0,0,1,0,1,1,1.0249376044,-0.019030,0.779001,1.3401372048
010023,-0.52783992,-0.711364745,-0.657990284,-0.166845738,,-1.15959374,0.1107533366,-4.426862022,1,1,1,1,0,1,1,1,7,0.1428571429,-1.077106159,-0.019030,0.779001,-1.358248272
010024,,-1.27119655,-0.423145665,-0.034433164,,-1.955114109,-0.62151517,-0.004852695,0,1,1,1,0,1,1,1,6,0.1666666667,-0.718376226,-0.019030,0.779001,-0.897748039
010029,-1.44776668,-0.59994191,-0.675132227,0.1100169171,-0.743970043,0.9232232265,-0.835669167,0.0490742479,1,1,1,1,1,1,1,1,8,0.125,-0.402520704,-0.019030,0.779001,-0.492285524
010033,-0.221197667,-0.246649995,0.0773990695,0.3253545379,-0.456281409,-0.301396009,0.2028625827,-1.299099327,1,1,1,1,1,1,1,1,8,0.125,-0.239876027,-0.019030,0.779001,-0.283499179
010034,,,,,,,,,0,0,0,0,0,0,0,0,0,,,-0.019030,0.779001,
010035,-0.374518794,0.9776423739,-0.479714077,-0.292570809,,1.1916109066,0.1245697235,0.3187089629,1,1,1,1,0,1,1,1,7,0.1428571429,0.2093897554,-0.019030,0.779001,0.2932215746
