PROVIDER_ID,std_HCP_COVID_19,std_IMM_3,std_OP_10,std_OP_13,std_OP_18B,std_OP_22,std_OP_23,std_OP_29,std_OP_8,std_PC_01,std_SAFE_USE_OF_OPIOIDS,std_SEP_1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010001,-0.52501682,1.0447164901,0.0802910279,0.7813730793,-1.062057844,-1.138829195,,-3.171398292,0.5880106234,0.1409842852,0.5630493928,0.4497722506,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,-0.204464091,0.028411,0.480473,-0.48467763
010005,-0.396114419,-0.26429419,-1.615666449,0.3739931517,0.3032291289,-0.270541921,-0.094781579,0.3347945331,-1.162943345,0.3463329351,-0.171693298,0.9253128974,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,-0.141031046,0.028411,0.480473,-0.352655634
010006,-0.52501682,-0.59154686,-1.064480269,0.3157960191,-0.313955393,0.5977453531,,-0.452309979,,0.5516815849,-0.171693298,-0.263538719,1,1,1,1,1,1,0,1,0,1,1,1,10,0.1,-0.191731838,0.028411,0.480473,-0.458178233
010007,-0.52501682,-2.773231326,-0.322498873,,0.583767548,-0.704685558,,-4.888717227,,,,-2.165701306,1,1,1,0,1,1,0,1,0,0,0,1,7,0.1428571429,-1.542297652,0.028411,0.480473,-3.269085304
010008,-0.430818911,-2.064183875,0.9282697664,,0.7333880382,1.03188899,,-1.74029918,,,,,1,1,1,0,1,1,0,1,0,0,0,0,6,0.1666666667,-0.256959195,0.028411,0.480473,-0.593934697
010011,-0.485354543,,-0.428496215,,-0.55708869,-1.138829195,-1.454346803,0.6210143556,,,-0.355378971,-0.025768396,1,0,1,0,1,1,1,1,0,0,1,1,8,0.125,-0.478031057,0.028411,0.480473,-1.05404738
010012,-0.52501682,-0.973341641,-0.704089305,-0.440766704,-0.145632342,-0.704685558,,0.6210143556,,0.5516815849,0.1956780474,1.9952793525,1,1,1,1,1,1,0,1,0,1,1,1,10,0.1,-0.012987903,0.028411,0.480473,-0.086161863
010016,-0.37628328,0.1720427035,-1.297674422,,-0.669304058,-0.270541921,,,,0.5516815849,-0.539064643,1.1630832207,1,1,1,0,1,1,0,0,0,1,1,1,8,0.125,-0.158257602,0.028411,0.480473,-0.388508939
010018,-0.515101251,1.0447164901,,,0.9952238961,1.03188899,,,,,,,1,1,0,0,1,1,0,0,0,0,0,0,4,0.25,0.6391820314,0.028411,0.480473,1.27118708
010019,-0.510143466,-0.100667855,-0.937283458,,-0.239145148,0.1636017162,-2.918493968,-0.666974846,-0.607084943,-0.064364365,-0.355378971,1.4602961249,1,1,1,0,1,1,1,1,1,1,1,1,11,0.0909090909,-0.434149016,0.028411,0.480473,-0.962716519
